"자전거번호","대여날짜","고장구분"
"SPB-05099","2019-07-27","체인"
"SPB-05112","2019-03-28","안장"
"SPB-05115","2019-04-21","안장"
"SPB-05115","2019-04-21","체인"
"SPB-05129","2019-08-19","단말기"
"SPB-05140","2019-09-13","체인"
"SPB-05140","2019-09-13","페달"
"SPB-05140","2019-09-13","단말기"
"SPB-05143","2019-07-17","타이어 "
"SPB-05143","2019-08-10","단말기"
"SPB-05143","2019-08-28","타이어 "
"SPB-05147","2019-09-15","단말기"
"SPB-05157","2019-01-31","단말기"
"SPB-05166","2019-04-01","체인"
"SPB-05173","2019-10-01","단말기"
"SPB-05173","2019-10-01","타이어 "
"SPB-05175","2019-08-10","체인"
"SPB-05177","2019-06-10","단말기"
"SPB-05177","2019-07-06","타이어 "
"SPB-05180","2019-11-14","타이어 "
"SPB-05181","2019-10-06","체인"
"SPB-05181","2019-10-06","페달"
"SPB-05181","2019-10-06","기타 "
"SPB-05181","2019-10-08","체인"
"SPB-05181","2019-10-08","페달"
"SPB-05193","2019-06-30","단말기"
"SPB-05196","2019-08-17","타이어 "
"SPB-05196","2019-09-27","체인"
"SPB-05207","2019-05-04","체인"
"SPB-05219","2019-09-03","단말기"
"SPB-05222","2019-05-03","단말기"
"SPB-05232","2019-10-12","체인"
"SPB-05246","2019-07-29","타이어 "
"SPB-05256","2019-08-23","안장"
"SPB-05256","2019-08-23","페달"
"SPB-05266","2019-10-22","안장"
"SPB-05282","2019-06-12","단말기"
"SPB-05282","2019-06-12","기타 "
"SPB-05293","2019-05-15","페달"
"SPB-05312","2019-06-28","체인"
"SPB-05312","2019-09-09","기타 "
"SPB-05324","2019-08-30","안장"
"SPB-05325","2019-08-19","안장"
"SPB-05325","2019-08-24","안장"
"SPB-05326","2019-08-05","안장"
"SPB-05346","2019-06-11","체인"
"SPB-05346","2019-06-11","페달"
"SPB-05346","2019-11-14","페달"
"SPB-05346","2019-11-14","체인"
"SPB-05347","2019-10-25","안장"
"SPB-05365","2019-07-03","안장"
"SPB-05380","2019-06-10","체인"
"SPB-05386","2019-09-05","단말기"
"SPB-05392","2019-08-24","타이어 "
"SPB-05395","2019-05-14","기타 "
"SPB-05398","2019-03-08","기타 "
"SPB-05402","2019-09-27","기타 "
"SPB-05402","2019-09-27","단말기"
"SPB-05403","2019-07-16","체인"
"SPB-05422","2019-05-09","단말기"
"SPB-05431","2019-10-01","타이어 "
"SPB-05431","2019-10-04","타이어 "
"SPB-05440","2019-10-22","타이어 "
"SPB-05442","2019-10-17","안장"
"SPB-05448","2019-09-02","단말기"
"SPB-05459","2019-06-10","기타 "
"SPB-05462","2019-09-18","타이어 "
"SPB-05463","2019-06-17","체인"
"SPB-05463","2019-07-02","안장"
"SPB-05469","2019-09-25","단말기"
"SPB-05469","2019-09-25","체인"
"SPB-05471","2019-10-10","타이어 "
"SPB-05479","2019-03-23","체인"
"SPB-05494","2019-04-19","기타 "
"SPB-05497","2019-03-18","단말기"
"SPB-05497","2019-09-11","체인"
"SPB-05504","2019-06-10","체인"
"SPB-05510","2019-08-25","체인"
"SPB-05510","2019-08-30","페달"
"SPB-05527","2019-01-22","체인"
"SPB-05553","2019-08-01","타이어 "
"SPB-05554","2019-04-11","체인"
"SPB-05559","2019-04-11","단말기"
"SPB-05576","2019-06-06","기타 "
"SPB-05585","2019-03-24","체인"
"SPB-05597","2019-07-21","기타 "
"SPB-05597","2019-07-21","체인"
"SPB-05597","2019-07-21","페달"
"SPB-05597","2019-07-30","기타 "
"SPB-05597","2019-07-30","체인"
"SPB-05597","2019-07-30","안장"
"SPB-05610","2019-10-09","체인"
"SPB-05610","2019-10-09","안장"
"SPB-05610","2019-10-09","페달"
"SPB-05614","2019-10-14","안장"
"SPB-05619","2019-06-03","단말기"
"SPB-05623","2019-10-31","타이어 "
"SPB-05624","2019-09-27","안장"
"SPB-05633","2019-05-01","기타 "
"SPB-05637","2019-05-13","타이어 "
"SPB-05637","2019-05-14","기타 "
"SPB-05643","2019-07-08","페달"
"SPB-05646","2019-10-18","체인"
"SPB-05654","2019-08-26","페달"
"SPB-05654","2019-08-26","체인"
"SPB-05659","2019-10-01","체인"
"SPB-05659","2019-10-16","체인"
"SPB-05666","2019-01-19","단말기"
"SPB-05669","2019-02-19","체인"
"SPB-05674","2019-05-11","타이어 "
"SPB-05683","2019-07-02","안장"
"SPB-05683","2019-07-25","체인"
"SPB-05692","2019-10-01","체인"
"SPB-05692","2019-10-01","페달"
"SPB-05695","2019-09-30","페달"
"SPB-05708","2019-08-26","타이어 "
"SPB-05710","2019-05-02","기타 "
"SPB-05737","2019-04-22","체인"
"SPB-05751","2019-08-23","단말기"
"SPB-05756","2019-10-26","안장"
"SPB-05756","2019-10-26","타이어 "
"SPB-05756","2019-10-29","타이어 "
"SPB-05762","2019-04-09","안장"
"SPB-05785","2019-06-13","안장"
"SPB-05786","2019-08-21","체인"
"SPB-05789","2019-10-06","단말기"
"SPB-05794","2019-10-17","체인"
"SPB-05817","2019-08-16","단말기"
"SPB-05825","2019-11-09","체인"
"SPB-05826","2019-05-10","페달"
"SPB-05831","2019-08-19","타이어 "
"SPB-05834","2019-08-20","안장"
"SPB-05838","2019-06-19","페달"
"SPB-05838","2019-06-19","체인"
"SPB-05842","2019-11-02","기타 "
"SPB-05847","2019-06-16","체인"
"SPB-05861","2019-09-23","체인"
"SPB-05862","2019-06-07","체인"
"SPB-05869","2019-10-09","단말기"
"SPB-05890","2019-08-06","안장"
"SPB-05896","2019-09-18","체인"
"SPB-05898","2019-08-27","기타 "
"SPB-05901","2019-05-08","단말기"
"SPB-05905","2019-08-01","타이어 "
"SPB-05905","2019-10-31","안장"
"SPB-05907","2019-03-31","기타 "
"SPB-05908","2019-01-27","안장"
"SPB-05911","2019-03-28","안장"
"SPB-05917","2019-10-26","단말기"
"SPB-05936","2019-04-17","안장"
"SPB-05947","2019-06-29","단말기"
"SPB-05956","2019-06-08","페달"
"SPB-05963","2019-05-09","단말기"
"SPB-05986","2019-07-01","체인"
"SPB-05987","2019-04-03","기타 "
"SPB-06001","2019-11-12","체인"
"SPB-06001","2019-11-12","페달"
"SPB-06006","2019-11-19","안장"
"SPB-06008","2019-06-07","타이어 "
"SPB-06013","2019-07-02","체인"
"SPB-06015","2019-10-04","체인"
"SPB-06016","2019-07-22","체인"
"SPB-06016","2019-08-06","체인"
"SPB-06016","2019-09-27","기타 "
"SPB-06020","2019-10-29","타이어 "
"SPB-06030","2019-07-14","체인"
"SPB-06048","2019-03-30","기타 "
"SPB-06050","2019-06-10","체인"
"SPB-06050","2019-06-10","기타 "
"SPB-06058","2019-04-14","타이어 "
"SPB-06058","2019-05-10","단말기"
"SPB-06059","2019-06-08","체인"
"SPB-06067","2019-06-03","안장"
"SPB-06077","2019-08-20","체인"
"SPB-06079","2019-05-14","체인"
"SPB-06088","2019-09-20","체인"
"SPB-06093","2019-08-27","안장"
"SPB-06096","2019-07-01","타이어 "
